"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cannabis","Level of psychological distress","Very high","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","4.6"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cannabis","Self-reported health condition","Diabetes","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","6.2"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cannabis","Self-reported health condition","Heart diseases","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","19.7"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cannabis","Self-reported health condition","Asthma","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","9.6"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cannabis","Self-reported health condition","Cancer","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","4.1"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cannabis","Self-reported health condition","Mental illness","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","16.9"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Level of psychological distress","Low","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","64.8"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Level of psychological distress","Moderate","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","21.3"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Level of psychological distress","High","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","9.3"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Level of psychological distress","Very high","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","4.6"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Self-reported health condition","Diabetes","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","6.2"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Self-reported health condition","Heart diseases","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","19.7"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Self-reported health condition","Asthma","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","9.6"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Self-reported health condition","Cancer","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","4.1"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Ecstasy","Self-reported health condition","Mental illness","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","16.9"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Level of psychological distress","Low","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","64.8"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Level of psychological distress","Moderate","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","21.3"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Level of psychological distress","High","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","9.3"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Level of psychological distress","Very high","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","4.6"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Self-reported health condition","Diabetes","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","6.2"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Self-reported health condition","Heart diseases","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","19.7"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Self-reported health condition","Asthma","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","9.6"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Self-reported health condition","Cancer","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","4.1"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Meth/amphetamines","Self-reported health condition","Mental illness","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","16.9"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cocaine","Level of psychological distress","Low","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","64.8"
"13A.53","2019","Selected illicit drug use","18+ years old","All people","All people","All areas","","Selected illicit drug use","Cocaine","Level of psychological distress","Moderate","All people","18+ years old","","AIHW National Drug Strategy Household Survey","%","","","","","","","","","","","21.3"
